date_and_time,Open,High,Low,Close
2020.05.26 20:00,1.09763,1.09956,1.09702,1.09821
2020.05.27 00:00,1.0981,1.09849,1.09678,1.09699
2020.05.27 04:00,1.09699,1.09746,1.09535,1.09546
2020.05.27 08:00,1.09546,1.09789,1.09509,1.09563
2020.05.27 12:00,1.09562,1.10305,1.09337,1.0998
2020.05.27 16:00,1.09978,1.10163,1.0955,1.09746
2020.05.27 20:00,1.09746,1.10088,1.09683,1.10088
2020.05.28 00:00,1.10017,1.10266,1.10005,1.1023
2020.05.28 04:00,1.10232,1.10349,1.10054,1.10078
2020.05.28 08:00,1.10078,1.10302,1.09914,1.09988
2020.05.28 12:00,1.09988,1.10293,1.09919,1.10213
2020.05.28 16:00,1.10214,1.10825,1.10212,1.10817
2020.05.28 20:00,1.1082,1.10932,1.10667,1.10769
2020.05.29 00:00,1.10695,1.10811,1.10695,1.10764
2020.05.29 04:00,1.10764,1.11,1.10738,1.10992
2020.05.29 08:00,1.10992,1.11198,1.10892,1.11168
2020.05.29 12:00,1.11169,1.11449,1.11125,1.11295
2020.05.29 16:00,1.11295,1.11325,1.10893,1.10975
2020.05.29 20:00,1.10975,1.11088,1.10807,1.11041
2020.06.01 00:00,1.11159,1.11259,1.11024,1.11214
2020.06.01 04:00,1.11214,1.114,1.11162,1.11332
2020.06.01 08:00,1.11332,1.11536,1.11159,1.11393
2020.06.01 12:00,1.11395,1.1141,1.11002,1.11098
2020.06.01 16:00,1.11098,1.11401,1.11031,1.11295
2020.06.01 20:00,1.11295,1.11363,1.11223,1.11337
2020.06.02 00:00,1.11351,1.11381,1.11237,1.11317
2020.06.02 04:00,1.11318,1.11328,1.11188,1.11254
2020.06.02 08:00,1.11254,1.1171,1.11149,1.11701
2020.06.02 12:00,1.11698,1.11876,1.11547,1.11646
2020.06.02 16:00,1.11646,1.11957,1.11632,1.11736
2020.06.02 20:00,1.11737,1.1181,1.11608,1.11686
2020.06.03 00:00,1.11681,1.12008,1.11664,1.11927
2020.06.03 04:00,1.11928,1.12105,1.11824,1.1203
2020.06.03 08:00,1.1203,1.12274,1.11908,1.12105
2020.06.03 12:00,1.12103,1.12266,1.11836,1.11912
2020.06.03 16:00,1.1191,1.12512,1.11863,1.12363
2020.06.03 20:00,1.12364,1.12575,1.12315,1.12331
2020.06.04 00:00,1.12325,1.12378,1.12132,1.12219
2020.06.04 04:00,1.12218,1.12244,1.12108,1.12151
2020.06.04 08:00,1.12151,1.12209,1.11946,1.12067
2020.06.04 12:00,1.12063,1.1272,1.11949,1.12373
2020.06.04 16:00,1.12372,1.13619,1.12263,1.13287
2020.06.04 20:00,1.13287,1.13615,1.13259,1.13351
2020.06.05 00:00,1.13368,1.13443,1.13308,1.13322
2020.06.05 04:00,1.13323,1.13548,1.13257,1.13464
2020.06.05 08:00,1.13466,1.13835,1.1326,1.13321
2020.06.05 12:00,1.13325,1.13433,1.12824,1.12952
2020.06.05 16:00,1.12951,1.13236,1.12825,1.12903
2020.06.05 20:00,1.12903,1.12993,1.12782,1.12918
2020.06.08 00:00,1.12973,1.13196,1.12786,1.12975
2020.06.08 04:00,1.12975,1.12993,1.12847,1.12886
2020.06.08 08:00,1.12886,1.13155,1.12809,1.13001
2020.06.08 12:00,1.13001,1.13063,1.12681,1.12935
2020.06.08 16:00,1.12935,1.13183,1.1285,1.12908
2020.06.08 20:00,1.12908,1.13084,1.1289,1.12937
2020.06.09 00:00,1.12913,1.13147,1.12896,1.1304
2020.06.09 04:00,1.1304,1.1304,1.12837,1.12854
2020.06.09 08:00,1.12854,1.12959,1.12408,1.12616
2020.06.09 12:00,1.12616,1.13019,1.12551,1.12993
2020.06.09 16:00,1.12991,1.13635,1.12965,1.13423
2020.06.09 20:00,1.13423,1.13479,1.1331,1.13379
2020.06.10 00:00,1.13379,1.13444,1.13314,1.13391
2020.06.10 04:00,1.13392,1.13457,1.13376,1.13425
2020.06.10 08:00,1.13425,1.13754,1.13415,1.13688
2020.06.10 12:00,1.13688,1.13891,1.1348,1.13801
2020.06.10 16:00,1.13801,1.13853,1.13419,1.1351
2020.06.10 20:00,1.13515,1.14221,1.13217,1.13752
2020.06.11 00:00,1.13734,1.13884,1.13637,1.13864
2020.06.11 04:00,1.13863,1.1395,1.13435,1.13508
2020.06.11 08:00,1.13508,1.13906,1.13248,1.13894
2020.06.11 12:00,1.13894,1.14012,1.13359,1.13564
2020.06.11 16:00,1.13564,1.14034,1.13504,1.13613
2020.06.11 20:00,1.13616,1.13616,1.12884,1.12976
2020.06.12 00:00,1.12913,1.13026,1.12802,1.12827
2020.06.12 04:00,1.12827,1.12976,1.12763,1.12968
2020.06.12 08:00,1.12968,1.13401,1.12929,1.13245
2020.06.12 12:00,1.13245,1.13271,1.12923,1.13051
2020.06.12 16:00,1.1305,1.13228,1.12332,1.12359
2020.06.12 20:00,1.12359,1.12619,1.12122,1.12558
2020.06.15 00:00,1.12375,1.12609,1.12263,1.12459
2020.06.15 04:00,1.12459,1.12681,1.12434,1.12603
2020.06.15 08:00,1.12603,1.12673,1.12264,1.12662
2020.06.15 12:00,1.12662,1.12674,1.12403,1.12474
2020.06.15 16:00,1.12476,1.12935,1.12439,1.1285
2020.06.15 20:00,1.12849,1.13323,1.12818,1.13223
2020.06.16 00:00,1.13147,1.13396,1.13146,1.13334
2020.06.16 04:00,1.13334,1.13481,1.13273,1.13325
2020.06.16 08:00,1.13325,1.13531,1.13149,1.13359
2020.06.16 12:00,1.13361,1.13409,1.12947,1.13013
2020.06.16 16:00,1.13013,1.13027,1.12276,1.12679
2020.06.16 20:00,1.12679,1.12721,1.12564,1.12634
2020.06.17 00:00,1.12603,1.1273,1.12531,1.12672
2020.06.17 04:00,1.12673,1.12728,1.12548,1.12711
2020.06.17 08:00,1.12711,1.12937,1.12505,1.12571
2020.06.17 12:00,1.12573,1.126,1.12226,1.12366
2020.06.17 16:00,1.12366,1.12483,1.12071,1.12307
2020.06.17 20:00,1.12305,1.12458,1.12285,1.12427
2020.06.18 00:00,1.12418,1.12498,1.12375,1.1241
2020.06.18 04:00,1.12412,1.12609,1.12245,1.12551
2020.06.18 08:00,1.12552,1.12598,1.12297,1.1249
2020.06.18 12:00,1.1249,1.1261,1.12139,1.12271
2020.06.18 16:00,1.12273,1.12322,1.11919,1.11932
2020.06.18 20:00,1.11932,1.12127,1.11854,1.12044
2020.06.19 00:00,1.12036,1.12129,1.11988,1.12035
2020.06.19 04:00,1.12035,1.12159,1.11986,1.12131
2020.06.19 08:00,1.12132,1.12215,1.12033,1.12157
2020.06.19 12:00,1.12158,1.12542,1.11941,1.12376
2020.06.19 16:00,1.12378,1.1242,1.11678,1.11924
2020.06.19 20:00,1.11924,1.11935,1.11718,1.11771
2020.06.22 00:00,1.11815,1.11876,1.11683,1.118
2020.06.22 04:00,1.11799,1.12037,1.11799,1.1203
2020.06.22 08:00,1.1203,1.12249,1.1188,1.12242
2020.06.22 12:00,1.12242,1.12264,1.1203,1.12203
2020.06.22 16:00,1.12206,1.12695,1.12204,1.12608
